A Coruña Airport,Culleredo,ES-GA
Aalborg Airport,Aalborg,DK-81
Aarhus Airport,Aarhus,DK-82
Aasiaat Airport,Aasiaat,GL-U-A
Aba Tenna Dejazmach Yilma International Airport,Dire Dawa,ET-DD
Abadan Airport,Abadan,IR-10
Abakan Airport,Abakan,RU-KK
Abbeville,Abbeville,FR-S
Abbotsford Airport,Abbotsford,CA-BC
Abeid Amani Karume International Airport,Zanzibar,TZ-07
Abel Santamaria Airport,Santa Clara,CU-05
Aberdeen Dyce Airport,Aberdeen,GB-SCT
Aberdeen Regional Airport,Aberdeen,US-SD
Abha Regional Airport,Abha,SA-14
Abilene Regional Airport,Abilene,US-TX
Abraham González International Airport,Ciudad Juárez,MX-CHH
Abraham Lincoln Capital Airport,Springfield,US-IL
Abu ad Duhur Air Base,Abu ad Duhur,SY-HL
Abu Dhabi International Airport,Abu Dhabi,AE-AZ
Abu Simbel Airport,Abu Simbel,EG-ASN
Abu Suwayr Air Base,Abu Suwayr,EG-IS
Acadiana Regional Airport,New Iberia,US-LA
Achinsk Airport,Achinsk,RU-KYA
Adak Airport,Adak Island,US-AK
Adana Airport,Adana,TR-01
Addis Ababa Bole International Airport,Addis Ababa,ET-AA
Adelaide International Airport,Adelaide,AU-SA
Aden Adde International Airport,Mogadishu,SO-BN
Aden International Airport,Aden,YE-AD
Adirondack Regional Airport,Saranac Lake,US-NY
Ad?yaman Airport,Ad?yaman,TR-02
Adnan Menderes International Airport,?zmir,TR-35
Adolf Würth Airport,Schwäbisch Hall,DE-BW
Adolfo Suárez Madrid–Barajas Airport,Madrid,ES-M
Aek Godang Airport,Padang Sidempuan-Sumatra Island,ID-SU
Aerotortuguero Airport,Roxana,CR-L
Afonso Pena Airport,Curitiba,BR-PR
Afyon Airport,Afyonkarahisar,TR-03
Agartala Airport,Agartala,IN-TR
Agen-La Garenne Airport,Agen/La Garenne,FR-B
Aggeneys Airport,Aggeneys,ZA-NC
Aghajari Airport,Aghajari,IR-10
Aguas Claras Airport,Ocaña,CO-NSA
Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,DZ-11
Ahe Airport,Ahe Atoll,PF-U-A
Ahmed Al Jaber Air Base,Ahmed Al Jaber AB,KW-AH
Ahwaz Airport,Ahwaz,IR-10
Ain Arnat Airport,Sétif,DZ-19
Ain el Beida Airport,Ouargla,DZ-30
Airport Bamberg-Breitenau,Bamberg,DE-BY
Ajaccio-Napoléon Bonaparte Airport,Ajaccio/Napoléon Bonaparte,FR-H
Akanu Ibiam International Airport,Enegu,NG-EN
Akhtubinsk Air Base,Akhtubinsk,RU-AST
Ak?nc? Air Base,Ankara,TR-06
Akita Airport,Akita,JP-05
Aklavik/Freddie Carmichael Airport,Aklavik,CA-NT
Akron Canton Regional Airport,Akron,US-OH
Akron Fulton International Airport,Akron,US-OH
Aksu Airport,Aksu,CN-65
Aktau Airport,Aktau,KZ-MAN
Aktion National Airport,Preveza/Lefkada,GR-34
Aktobe Airport,Aktyuinsk,KZ-AKT
Akulivik Airport,Akulivik,CA-QC
Akure Airport,Akure,NG-ON
Akureyri Airport,Akureyri,IS-6
Akwa Ibom International Airport,Uyo,NG-AK
Al Ain International Airport,Al Ain,AE-AZ
Al Asad Air Base,H?t,IQ-AN
Al Maktoum International Airport,Jebel Ali,AE-DU
Al Massira Airport,Agadir,MA-AGD
Al Minhad Air Base,Dubai,AE-DU
Al Qaisumah/Hafr Al Batin Airport,Qaisumah,SA-04
Al Qusayr Air Base,Al-Qusayr,SY-HI
Al Sahra Army Air Field,Tikrit,IQ-SD
Al Taji Army Air Field,Taji,IQ-BG
Al Taqaddum Air Base,Al Habbaniyah,IQ-AN
Al Udeid Air Base,Ar Rayyan,QA-RA
Al Wajh Domestic Airport,Al Wajh,SA-07
Alakurtti Naval Air Base,Alakurtti,RU-MUR
Alama Iqbal International Airport,Lahore,PK-PB
Alamogordo White Sands Regional Airport,Alamogordo,US-NM
Alashankou Bole (Bortala) airport,Bole,CN-65
Albacete-Los Llanos Airport,Albacete,ES-CM
Albany Airport,Albany,AU-WA
Albany International Airport,Albany,US-NY
Albert J Ellis Airport,Jacksonville,US-NC
Alberto Alcolumbre Airport,Macapá,BR-AP
Alberto Carnevalli Airport,Mérida,VE-L
Alberto Delgado Airport,Trinidad,CU-07
Albi-Le Séquestre Airport,Albi/Le Séquestre,FR-N
Albuquerque International Sunport Airport,Albuquerque,US-NM
Albury Airport,Albury,AU-NSW
Alcantarilla Air Base,Alcantarilla,ES-MU
Alderney Airport,Saint Anne,GG-U-A
Alejandro Velasco Astete International Airport,Cusco,PE-CUS
Aleknagik / New Airport,Aleknagik,US-AK
Aleppo International Airport,Aleppo,SY-HL
Alert Airport,Alert,CA-NU
Alert Bay Airport,Alert Bay,CA-BC
Alès-Deaux Airport,Alès/Deaux,FR-K
Alessandria Airport,Alessandria,IT-21
Ålesund Airport,Ålesund,NO-15
Alexander Bay Airport,Alexander Bay,ZA-NC
Alexander the Great International Airport,Kavala,GR-55
Alexandra Airport,Alexandra,NZ-OTA
Alexandria International Airport,Alexandria,US-LA
Alferez Fap David Figueroa Fernandini Airport,Huánuco,PE-HUC
Alfonso Bonilla Aragon International Airport,Cali,CO-VAC
Alfonso López Pumarejo Airport,Valledupar,CO-CES
Alfredo Vásquez Cobo International Airport,Leticia,CO-AMA
Alghero-Fertilia Airport,Alghero,IT-88
Ali Air Base,Nasiriyah,IQ-DQ
Alicante International Airport,Alicante,ES-V
Alice International Airport,Alice,US-TX
Alice Springs Airport,Alice Springs,AU-NT
Al-Jawf Domestic Airport,Al-Jawf,SA-12
Allah Valley Airport,Surallah,PH-SCO
Allahabad Airport,Allahabad,IN-UP
Allegheny County Airport,Pittsburgh,US-PA
Allen Army Airfield,Delta Junction Ft Greely,US-AK
Alma Airport,Alma,CA-QC
Almaty Airport,Almaty,KZ-ALM
Almaza Air Force Base,Cairo,EG-C
Almería International Airport,Almería,ES-AN
Almirante Marco Andres Zar Airport,Rawson,AR-U
Almirante Padilla Airport,Riohacha,CO-LAG
Alonso Valderrama Airport,Chitré,PA-6
Alpena County Regional Airport,Alpena,US-MI
Alpha Airport,Alpha,AU-QLD
Alpnach Air Base,Alpnach,CH-OW
Alta Airport,Alta,NO-20
Altai Airport,Altai,MN-065
Altamira Airport,Altamira,BR-PA
Altay Air Base,Altay,CN-65
Altenburg-Nobitz Airport,Altenburg,DE-TH
Altoona Blair County Airport,Altoona,US-PA
Altus Air Force Base,Altus,US-OK
Alverca Airport,Vila Franca de Xira,PT-11
Amado Nervo National Airport,Tepic,MX-NAY
Amami Airport,Amami,JP-46
Ämari Air Base,Keila,EE-37
Ambalabe Airport,Antsohihy,MG-M
Ambérieu Air Base (BA 278),Ambérieu,FR-V
Ambler Airport,Ambler,US-AK
Amboseli Airport,Amboseli National Park,KE-700
Amderma Airport,Amderma,RU-NEN
Amendola Air Base,Foggia,IT-75
Amiens-Glisy Airport,Amiens/Glisy,FR-S
Amílcar Cabral International Airport,Espargos,CV-B
Amman-Marka International Airport,Amman,JO-AM
Amos Magny Airport,Amos,CA-QC
Ampara Airport,Ampara,LK-5
Amsterdam Airport Schiphol,Amsterdam,NL-NH
Anaco Airport,Anaco,VE-B
Anadolu Airport,Eski?ehir,TR-26
Anaktuvuk Pass Airport,Anaktuvuk Pass,US-AK
Anapa Vityazevo Airport,Anapa,RU-KDA
Ancona Falconara Airport,Ancona,IT-57
Andersen Air Force Base,"Andersen, Mariana Island",GU-U-A
Anderson Regional Airport,Anderson,US-SC
Andøya Airport,Andenes,NO-18
Andravida Air Base,Andravida,GR-14
Andreapol Air Base,Andreapol,RU-TVE
Andrews Air Force Base,Camp Springs,US-MD
Angads Airport,Oujda,MA-OUJ
Angel Albino Corzo International Airport,Tuxtla Gutiérrez,MX-CHP
Angel S Adami Airport,Montevideo,UY-MO
Ängelholm-Helsingborg Airport,Ängelholm,SE-M
Angelina County Airport,Lufkin,US-TX
Angers-Loire Airport,Angers/Marcé,FR-R
Anglesey Airport,Angelsey,GB-WLS
Angoulême-Brie-Champniers Airport,Angoulême/Brie/Champniers,FR-T
Aniak Airport,Aniak,US-AK
Annecy-Haute-Savoie-Mont Blanc Airport,Annecy/Meythet,FR-V
Annemasse Airport,Annemasse,FR-V
Annette Island Airport,Annette,US-AK
Anniston Metropolitan Airport,Anniston,US-AL
Anqing Tianzhushan Airport,Anqing,CN-34
Anshan Air Base,Anshan,CN-21
Anshun Huangguoshu Airport,Anshun,CN-U-A
Antalya International Airport,Antalya,TR-07
Antonio B. Won Pat International Airport,"Hagåtña, Guam International Airport",GU-U-A
Antonio Maceo International Airport,Santiago,CU-13
Antonio Narino Airport,Pasto,CO-NAR
Antonio Nery Juarbe Pol Airport,Arecibo,PR-U-A
Antonio Roldan Betancourt Airport,Carepa,CO-ANT
Antwerp International Airport (Deurne),Antwerp,BE-VAN
Anuradhapura Air Force Base,Anuradhapura,LK-7
Anvik Airport,Anvik,US-AK
Aomori Airport,Aomori,JP-02
Aosta Airport,Aosta,IT-23
Aqaba King Hussein International Airport,Aqaba,JO-AQ
Araçatuba Airport,Araçatuba,BR-SP
Arad International Airport,Arad,RO-AR
Araguaína Airport,Araguaína,BR-TO
Arandis Airport,Arandis,NA-ER
Arar Domestic Airport,Arar,SA-08
Araraquara Airport,Araraquara,BR-SP
Araxos Airport,Patras,GR-13
Arcachon-La Teste-de-Buch Airport,Arcachon/La Teste-de-Buch,FR-B
Arcata Airport,Arcata/Eureka,US-CA
Arctic Village Airport,Arctic Village,US-AK
Ardabil Airport,Ardabil,IR-03
Ardmore Airport,Manurewa,NZ-AUK
