1,A Coruña Airport,Culleredo,ES
2,Aalborg Airport,Aalborg,DK
3,Aarhus Airport,Aarhus,DK
4,Aasiaat Airport,Aasiaat,GL
5,Aba Tenna Dejazmach Yilma International Airport,Dire Dawa,ET
6,Abadan Airport,Abadan,IR
7,Abakan Airport,Abakan,RU
8,Abbeville,Abbeville,FR
9,Abbotsford Airport,Abbotsford,CA
10,Abeid Amani Karume International Airport,Zanzibar,TZ
11,Abel Santamaria Airport,Santa Clara,CU
12,Aberdeen Dyce Airport,Aberdeen,GB
13,Aberdeen Regional Airport,Aberdeen,US
14,Abha Regional Airport,Abha,SA
15,Abilene Regional Airport,Abilene,US
16,Abraham González International Airport,Ciudad Juárez,MX
17,Abraham Lincoln Capital Airport,Springfield,US
18,Abu ad Duhur Air Base,Abu ad Duhur,SY
19,Abu Dhabi International Airport,Abu Dhabi,AE
20,Abu Simbel Airport,Abu Simbel,EG
21,Abu Suwayr Air Base,Abu Suwayr,EG
22,Acadiana Regional Airport,New Iberia,US
23,Achinsk Airport,Achinsk,RU
24,Adak Airport,Adak Island,US
25,Adana Airport,Adana,TR
26,Addis Ababa Bole International Airport,Addis Ababa,ET
27,Adelaide International Airport,Adelaide,AU
28,Aden Adde International Airport,Mogadishu,SO
29,Aden International Airport,Aden,YE
30,Adirondack Regional Airport,Saranac Lake,US
31,Ad?yaman Airport,Ad?yaman,TR
32,Adnan Menderes International Airport,?zmir,TR
33,Adolf Würth Airport,Schwäbisch Hall,DE
34,Adolfo Suárez Madrid–Barajas Airport,Madrid,ES
35,Aek Godang Airport,Padang Sidempuan-Sumatra Island,ID
36,Aerotortuguero Airport,Roxana,CR
37,Afonso Pena Airport,Curitiba,BR
38,Afyon Airport,Afyonkarahisar,TR
39,Agartala Airport,Agartala,IN
40,Agen-La Garenne Airport,Agen/La Garenne,FR
41,Aggeneys Airport,Aggeneys,ZA
42,Aghajari Airport,Aghajari,IR
43,Aguas Claras Airport,Ocaña,CO
44,Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,DZ
45,Ahe Airport,Ahe Atoll,PF
46,Ahmed Al Jaber Air Base,Ahmed Al Jaber AB,KW
47,Ahwaz Airport,Ahwaz,IR
48,Ain Arnat Airport,Sétif,DZ
49,Ain el Beida Airport,Ouargla,DZ
50,Airport Bamberg-Breitenau,Bamberg,DE
51,Ajaccio-Napoléon Bonaparte Airport,Ajaccio/Napoléon Bonaparte,FR
52,Akanu Ibiam International Airport,Enegu,NG
53,Akhtubinsk Air Base,Akhtubinsk,RU
54,Ak?nc? Air Base,Ankara,TR
55,Akita Airport,Akita,JP
56,Aklavik/Freddie Carmichael Airport,Aklavik,CA
57,Akron Canton Regional Airport,Akron,US
58,Akron Fulton International Airport,Akron,US
59,Aksu Airport,Aksu,CN
60,Aktau Airport,Aktau,KZ
61,Aktion National Airport,Preveza/Lefkada,GR
62,Aktobe Airport,Aktyuinsk,KZ
63,Akulivik Airport,Akulivik,CA
64,Akure Airport,Akure,NG
65,Akureyri Airport,Akureyri,IS
66,Akwa Ibom International Airport,Uyo,NG
67,Al Ain International Airport,Al Ain,AE
68,Al Asad Air Base,H?t,IQ
69,Al Maktoum International Airport,Jebel Ali,AE
70,Al Massira Airport,Agadir,MA
71,Al Minhad Air Base,Dubai,AE
72,Al Qaisumah/Hafr Al Batin Airport,Qaisumah,SA
73,Al Qusayr Air Base,Al-Qusayr,SY
74,Al Sahra Army Air Field,Tikrit,IQ
75,Al Taji Army Air Field,Taji,IQ
76,Al Taqaddum Air Base,Al Habbaniyah,IQ
77,Al Udeid Air Base,Ar Rayyan,QA
78,Al Wajh Domestic Airport,Al Wajh,SA
79,Alakurtti Naval Air Base,Alakurtti,RU
80,Alama Iqbal International Airport,Lahore,PK
81,Alamogordo White Sands Regional Airport,Alamogordo,US
82,Alashankou Bole (Bortala) airport,Bole,CN
83,Albacete-Los Llanos Airport,Albacete,ES
84,Albany Airport,Albany,AU
85,Albany International Airport,Albany,US
86,Albert J Ellis Airport,Jacksonville,US
87,Alberto Alcolumbre Airport,Macapá,BR
88,Alberto Carnevalli Airport,Mérida,VE
89,Alberto Delgado Airport,Trinidad,CU
90,Albi-Le Séquestre Airport,Albi/Le Séquestre,FR
91,Albuquerque International Sunport Airport,Albuquerque,US
92,Albury Airport,Albury,AU
93,Alcantarilla Air Base,Alcantarilla,ES
94,Alderney Airport,Saint Anne,GG
95,Alejandro Velasco Astete International Airport,Cusco,PE
96,Aleknagik / New Airport,Aleknagik,US
97,Aleppo International Airport,Aleppo,SY
